Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-08-21,48650.921875,49521.24248099284,48563.88981440071,48912.01805679785,21142288
2020-08-24,48824.98046875,49260.140722482174,48215.756113524956,48563.884316510695,15055896
2020-08-25,49086.07421875,49434.20240469858,48824.978079288565,49086.07421875,14021705
2020-08-26,49086.07421875,49173.10626523714,48476.84989333998,49086.07421875,17651593
2020-08-27,48389.81640625,48999.04071352293,48389.81640625,48999.04071352293,16196568
2020-08-28,48215.76171875,48999.05026652753,48215.76171875,48824.98614479919,14619888
2020-08-31,46997.30078125,48824.97358940972,46997.30078125,48737.94155092593,32671367
2020-09-01,47171.37109375,47693.56339368081,47084.33904376153,47084.33904376153,19363117
2020-09-02,47345.4375,47954.66187959559,47084.34133731618,47519.50160845588,16905723
2020-09-03,49086.07421875,49347.170358211435,48302.78580036569,48389.817846852835,28384920
2020-09-04,48389.81640625,48563.88049404226,47954.65618676933,48041.688230665466,22139109
2020-09-07,49173.109375,49869.3657909292,48563.885011061946,48824.981167035396,18685880
2020-09-08,51087.8125,51087.8125,49782.331771720616,49956.39586882453,31517520
2020-09-09,50826.7109375,51609.99929098887,50304.51870184075,50652.646858946915,30597399
2020-09-10,51522.98046875,52219.23696157094,51435.94840714738,52132.204899968325,29923293
2020-09-11,51348.91015625,51697.03836069915,50652.653747351695,51610.00630958686,16017098
2020-09-14,52567.3515625,52915.47971854304,52132.19136744619,52393.287484478475,20648281
2020-09-15,53089.55859375,53089.55859375,52654.39827740779,53002.52653048156,17877075
2020-09-16,53089.55859375,53350.65478355533,52741.430340676234,53176.590657018445,17041444
2020-09-17,51784.0625,52915.47899159664,51609.99842436975,52828.44695378151,25108356
2020-09-18,51610.0,52132.19224283305,51435.93591905565,52045.16020236087,18884571
2020-09-21,51522.98046875,52219.23696157094,51348.91634554476,51435.94840714738,15140387
2020-09-22,50652.64453125,51958.12506040593,50304.516390141755,51435.932848743556,20830381
2020-09-23,51000.7890625,51174.85318899318,49956.404303540956,50826.72493600682,20111398
2020-09-24,50304.5234375,51000.77981725778,50130.459342560556,50217.49139003028,17564020
2020-09-25,50391.5625,50652.658678756474,50217.49838082901,50217.49838082901,11444683
2020-09-28,50964.24609375,51489.65069265464,50701.543794297686,51051.813526900776,12614080
2020-09-29,50964.24609375,51664.78555895619,50964.24609375,51051.813526900776,15503563
2020-10-05,51402.078125,51839.91524701874,50351.269032155025,50351.269032155025,20228289
2020-10-06,51664.7890625,52452.896014300844,51402.08674523305,52015.05881885593,14463826
2020-10-07,52452.890625,52452.890625,51226.946603714525,51402.08146389816,14861838
2020-10-08,52277.7578125,53153.43214771775,52102.622945456445,52978.297280674204,24589924
2020-10-12,52890.7265625,52890.7265625,52452.88942208195,52540.45685016556,16145837
2020-10-13,53328.5703125,53766.4075071839,52890.73311781609,53416.13775143678,19247631
2020-10-14,53328.5703125,53503.70519037356,52978.300556752874,53416.13775143678,16086716
2020-10-15,52540.44921875,53240.988541666666,52277.74697265625,53153.421126302084,17756232
2020-10-16,52102.625,52890.73193277311,51664.78781512605,52540.46218487395,16554190
2020-10-19,52540.44921875,52715.58404947917,52102.612141927086,52190.17955729167,14474985
2020-10-20,53328.5703125,53328.5703125,52628.03080100574,52803.16567887931,19326115
2020-10-21,53328.5703125,53853.97494612069,53065.86799568965,53591.27262931034,15703443
2020-10-22,52628.02734375,52978.297076487106,52365.325044197176,52803.16221011856,14294095
2020-10-23,52715.58984375,52890.72469372924,52365.32014379153,52890.72469372924,9322232
2020-10-26,52890.7265625,53503.698559085264,52628.02427824917,52890.7265625,13268226
